"name","run.no.in.std.order","run.no","run.no.std.rp","forwarders","request","files","spatiality"
"1","21",1,"21","1","262144","individual","strided"
"2","14",2,"14","2","262144","shared","contiguous"
"3","11",3,"11","4","32768","shared","contiguous"
"4","7",4,"7","4","262144","individual","contiguous"
"5","5",5,"5","1","262144","individual","contiguous"
"6","30",6,"30","2","262144","shared","strided"
"7","18",7,"18","2","32768","individual","strided"
"8","3",8,"3","4","32768","individual","contiguous"
"9","6",9,"6","2","262144","individual","contiguous"
"10","31",10,"31","4","262144","shared","strided"
"11","22",11,"22","2","262144","individual","strided"
"12","13",12,"13","1","262144","shared","contiguous"
"13","24",13,"24","8","262144","individual","strided"
"14","4",14,"4","8","32768","individual","contiguous"
"15","28",15,"28","8","32768","shared","strided"
"16","26",16,"26","2","32768","shared","strided"
"17","27",17,"27","4","32768","shared","strided"
"18","12",18,"12","8","32768","shared","contiguous"
"19","2",19,"2","2","32768","individual","contiguous"
"20","1",20,"1","1","32768","individual","contiguous"
"21","19",21,"19","4","32768","individual","strided"
"22","32",22,"32","8","262144","shared","strided"
"23","23",23,"23","4","262144","individual","strided"
"24","10",24,"10","2","32768","shared","contiguous"
"25","25",25,"25","1","32768","shared","strided"
"26","9",26,"9","1","32768","shared","contiguous"
"27","15",27,"15","4","262144","shared","contiguous"
"28","20",28,"20","8","32768","individual","strided"
"29","16",29,"16","8","262144","shared","contiguous"
"30","17",30,"17","1","32768","individual","strided"
"31","8",31,"8","8","262144","individual","contiguous"
"32","29",32,"29","1","262144","shared","strided"
